,Title,Published_date,Views,likes,Comments
369,What If a Hypercane Formed in the Atlantic Ocean Tomorrow?,2021-06-30,315244,10255,748
370,What If We Drilled a Hole Through Mars?,2021-06-27,289734,9451,818
371,What If Earth Froze Overnight?,2021-06-25,298629,9401,853
372,What If You Were the Last Human on Earth? #Shorts,2021-06-24,266675,13923,641
373,What If All the Passengers on a Plane Jumped  at Once?,2021-06-23,327984,9713,867
374,What If You Swallowed Gallium?,2021-06-20,3329291,41670,2173
375,What Would a Megatsunami Look Like? #Shorts,2021-06-19,264571,11557,332
376,What If You Were Sucked Into a Whale's Blowhole?,2021-06-18,154865,4240,489
377,What If Bitcoin Got Banned in the US? #Shorts,2021-06-17,188590,7352,216
378,What If You Ate Nothing But Caviar for a Month?,2021-06-16,232772,6420,528
379,What If You Dumped an Iceberg Into a Volcano?,2021-06-13,639973,17755,1210
380,What If the World Lost Its Oxygen for 5 Seconds? #Shorts,2021-06-12,10328481,521868,5183
381,What If We Replaced the Moon with Jupiter Overnight?,2021-06-11,265215,8410,753
382,What If the Ice Age Never Happened?,2021-06-06,432502,13874,914
383,What Would Different Planets Look Like If They Became Our Moons? #Shorts,2021-06-05,1785633,74052,2438
384,What If a Megalodon Shark Fought the Kraken?,2021-06-04,1394363,26552,2123
385,What If We Never Landed on the Moon?,2021-06-02,201333,7888,1076
386,What If Humans Didn't Have Nails?,2021-05-30,351023,10385,1049
387,What If Earth Went Rogue?,2021-05-28,603710,13196,943
388,What If You Drilled a Hole Through Earth?,2021-05-26,1684812,34001,2105
389,What If the Oceans Lose Oxygen?,2021-05-23,150523,5372,589
390,What If Each Planet Replaced Our Moon?,2021-05-21,3051982,47883,3466
391,What If We Didn't Have Bones?,2021-05-19,3768998,54877,2941
392,What If Walls Could Protect Coastal Cities Against Rising Sea Levels?,2021-05-16,512226,14056,1728
393,What If You Ate an Alien?,2021-05-14,251859,9716,1417
394,What If You Fell Into Antarctica's Largest Subglacial Lake?,2021-05-12,251863,8591,481
395,What If You Had as Much Money as Jeff Bezos?,2021-05-09,379552,12094,2692
396,What If We Traveled One Billion Years Into the Past?,2021-05-07,1129407,25026,1333
397,What If You Ate Your Boogers? #Shorts,2021-05-06,418686,13884,659
398,What If You Swallowed a Hornet?,2021-05-05,423406,8583,701
399,What If Civilization Collapses?,2021-05-02,222238,9249,1699
400,What If a Blazar Entered Our Solar System?,2021-04-30,631144,19635,1421
401,What If Earth Were Sucked Into a Black Hole?,2021-04-28,5358602,68394,4757
402,What If We Raised Dinosaurs for Food?,2021-04-25,274824,10969,1266
403,What If Bed Bugs Were the Size of Humans?,2021-04-23,149524,4630,628
404,What If You Fell Into a Pool of Molten Metal?,2021-04-21,172855,6436,736
405,What If You Were Attacked by Murder Hornets? #Shorts,2021-04-20,420427,12494,380
406,What If it Rained Every Day for a Year?,2021-04-19,713137,17798,1870
407,Top 10 Events That Could End the World #Shorts,2021-04-15,9620549,573300,15138
408,What If Everyone Was Albino?,2021-04-13,325203,10029,1425
409,Join Our YouTube Membership,2021-04-12,46937,2908,411
410,What If We Built a City on Mars?,2021-04-11,549621,15383,1699
411,What If Earth Was Shaped Like a Donut? #Shorts,2021-04-09,15956208,582880,7095
412,What If We Discovered Earth 2.0?,2021-04-09,1314311,33638,2078
413,What If Everyone Started Inbreeding Tomorrow?,2021-04-07,1141923,28525,4543
414,What If You Always Swallow Your Chewing Gum?,2021-04-05,633922,20618,1291
415,What If We Had Nuclear-Powered Rockets?,2021-04-02,311868,10898,1075
416,What If the Sun Exploded Tomorrow? #Shorts,2021-04-01,7858053,231382,10633
417,What If Humans Had No Hair?,2021-03-30,318670,10086,1442
418,What If Titans Were Real? #AttackOnTitan,2021-03-28,3010623,89438,13594
419,Thank You to 5 Million of You,2021-03-27,107369,9795,1837
420,What If You Jumped Into a Pool of Liquid Methane?,2021-03-26,150291,5072,602
421,What If Your Stomach Acid Disappeared?,2021-03-24,4511887,35220,1482
422,What If the Titanoboa Lived Today?,2021-03-22,1109820,27194,1166
423,What If Jupiter Lost Its Atmosphere?,2021-03-19,735290,17991,1253
424,What If COVID-19 Never Disappears?,2021-03-17,374457,14673,2287
425,"What If Earth's Atmosphere Became Super-heated to 1,000 Degrees for 5 Seconds?",2021-03-15,322206,9099,748
426,What If You Cut the Moon in Half?,2021-03-14,418198,10629,1496
427,What If We Could Control Hurricanes?,2021-03-12,142504,4549,582
428,What If the Ring of Fire Erupted Right Now?,2021-03-11,1187940,27198,2634
429,What If Lightsabers Were Real?,2021-03-10,223596,6677,811
430,What If You Wore 100 Layers of Makeup?,2021-03-07,206884,5935,879
431,What If You Were the Last Child Born on Earth?,2021-03-05,288583,9496,989
432,What If You Flew to Space on a Jetpack?,2021-03-03,152933,5353,644
433,What If We Detonated an Antimatter Bomb on Earth?,2021-03-02,415641,13788,1133
434,What If There is Alien Life on Jupiter's Moon Europa?,2021-02-28,275487,9211,965
435,"What If You Had 1,000,000 Bitcoins?",2021-02-27,383010,15191,1701
436,What If There Were No Music?,2021-02-26,170961,7569,1341
437,What If We Discovered Alien Life on Mars?,2021-02-22,1927530,37494,3380
438,What If You Only Ate Red Meat?,2021-02-20,219863,7056,1280
439,What If You Were the Dirtiest Man on Earth?,2021-02-18,267173,5911,979
440,What If Godzilla Were Real?,2021-02-17,1745364,49656,4847
441,What If You Fell Into Neptune?,2021-02-16,2418041,70085,3350
442,What If You Were Swallowed by a Hippo?,2021-02-13,702244,14694,1423
443,What If Telepathy Were Real?,2021-02-11,160522,6112,737
444,What If You Jumped Into a Pool Full of Honey?,2021-02-08,1018217,18437,1656
445,What If You Could Control Déjà Vu?,2021-02-06,231669,9570,1008
446,What If We Painted Earth White?,2021-02-05,535575,17531,1983
447,What If You Touched Absolute Zero?,2021-02-03,430764,13163,1397
448,What If You Held in All Your Farts?,2021-02-01,694527,13518,1306
449,What If You Traveled One Billion Years Into the Future?,2021-01-30,8233719,175511,17125
450,What If Earth Lost Power for 7 Days?,2021-01-28,1008008,25180,2850
451,What If All Life on Earth Lived in the Oceans?,2021-01-25,397295,11373,979
452,What If We Cooled the Earth with Solar Power?,2021-01-23,261764,8914,779
453,What If We Were a Type III Civilization?,2021-01-21,863218,26464,1871
454,What If Poltergeists Were Real?,2021-01-20,393765,12736,1252
455,What If You Traveled to the Hell Planet?,2021-01-18,1049608,29809,2091
456,What If No One Ever Died?,2021-01-16,776641,23710,2603
457,What If We Filled Our Oceans Up With Lava?,2021-01-14,254272,7684,1052
458,What If You Didn't Wash Your Hair for a Year?,2021-01-12,1773767,40976,2581
459,What If Tardigrades Were the Size of Humans?,2021-01-10,436223,12923,1161
460,Discussed: What If You Explored the Deepest Points of Earth? - George Kourounis,2021-01-09,95537,2873,195
461,What If We Settled on an Exoplanet?,2021-01-07,288174,11303,1043
462,What If a Magnitude 20 Earthquake Hits?,2021-01-05,1849536,48416,2839
463,What If You Ate Nothing But Sugar for a Month?,2021-01-03,494047,13059,1361
464,Discussed: What If You Ate Sugar for a Month? - with Gary Taubes,2021-01-02,55812,1732,287
465,What If a Supernova Exploded Close to Earth?,2020-12-31,1283746,29957,2612
466,"What If There Were Only 1,000 People Left on Earth?",2020-12-29,409606,14411,1665
467,What If You Explored the Deepest Points on Earth?,2020-12-28,1067037,24855,1105
468,Discussed: What If We Settled on an Exoplanet? - with Didier Queloz,2020-12-26,72534,2636,249
469,What If the Sun Swallowed Earth?,2020-12-24,925591,18777,1872
470,What If the Loch Ness Monster Is Real?,2020-12-22,328582,10088,1188
471,What If the Earth Was Actually Flat? (Extended),2020-12-21,3219927,64127,17032
472,What Is the What If 100 Book About?,2020-12-20,54344,2589,453
473,What If You Rode a Balloon to Space?,2020-12-19,153903,5045,639
474,What If North America Suddenly Sank Into the Oceans?,2020-12-18,414848,9138,1064
475,What If a Tornado Hit an Active Volcano?,2020-12-16,1718046,39653,3153
476,What If We Refueled the Sun With Jupiter?,2020-12-14,1517605,28398,2464
477,What If There Were Giant Sandworms on Earth?,2020-12-12,393613,8810,754
478,What If You Fell From the International Space Station?,2020-12-10,219044,7609,721
479,What If You Spent 24 Hours Lost at Sea?,2020-12-08,792385,18414,1055
480,What If Your Skin Were Bullet-Proof?,2020-12-05,1728462,45374,3482
481,What If You Built a Pipe to the Bottom of the Mariana Trench?,2020-12-03,259826,8846,719
482,What If a Black Neutron Star Entered the Solar System?,2020-12-01,827653,25049,1747
483,What If You Lived In a Closed Biosphere?,2020-11-29,298831,9268,656
484,Discussed: What If You Lived In a Closed Biosphere? - Jane Poynter,2020-11-28,56654,2099,197
485,What If Uranus Collided With Earth?,2020-11-26,9330193,163414,24015
486,What If a Turkey Hit Earth at the Speed of Light?,2020-11-24,319000,10789,1877
487,What If We Could See Through a Black Hole?,2020-11-22,362330,13024,825
488,Discussed: What If You Could See Through a Black Hole? - Pr. Clifford Johnson,2020-11-21,88267,3340,262
489,What If a COVID Vaccine Were Available Tomorrow?,2020-11-19,204288,7448,1156
490,What If You Were Attacked by a Megalodon?,2020-11-17,392540,9527,773
491,"What Happens If You Drink 1,000 Red Bulls in a Month?",2020-11-15,481663,14393,1019
492,Discussed: What If You Were Addicted to Energy Drinks? - Danielle Robertson Rath,2020-11-14,61407,1971,311
493,What If a Volcanic Apocalypse Happened Tomorrow?,2020-11-12,209398,7799,904
494,What If You Ate a Brick of Dry Ice?,2020-11-10,2727829,45078,2542
495,What if 'Among Us' Happened in Real Life?,2020-11-08,564979,19360,1807
496,Discussed: What If 'Among Us' Was Real Life? - Liana Ruppert | Episode 20,2020-11-07,90950,2917,386
497,What If You Lived in Ancient Rome?,2020-11-06,963971,20897,1432
498,What If Columbus Never Discovered America?,2020-11-04,421103,15504,2751
499,What If Trump Didn't Quit After Losing?,2020-11-02,796958,33015,4961
500,What If the Solar System Orbited a Black Hole?,2020-11-01,803560,19486,1327
501,Discussed: What If Our Solar System Orbited a Black Hole? - with Pr. Johnson | Episode 19,2020-10-31,86835,2839,266
502,What If Bats Were the Size of Humans?,2020-10-30,132635,4572,893
503,What If You Fell Into a Pool of Aerogel?,2020-10-28,505175,15306,807
504,What If You Stopped Brushing Your Teeth?,2020-10-27,1282020,26465,3000
505,What If the Arctic Turned Into a Megaslump?,2020-10-25,141905,4763,599
506,Discussed: What If We Were on Lockdown for the Entire Winter? - with Dr. Rosenthal | Episode 18,2020-10-24,62437,2302,450
507,What If You Were Attacked by a Giant Squid?,2020-10-22,1192806,15024,1118
508,What If the Moon Exploded?,2020-10-20,2346374,43968,3281
509,What Happens If the Mega-Earthquake Hits California Tomorrow?,2020-10-18,618562,13295,1861
510,Discussed: What If Matter Was Replaced by Antimatter? - with Liz Landau | Episode 17,2020-10-17,63255,2010,225
511,What If Terror Crocs Were Still Alive?,2020-10-15,532725,12741,928
512,What If the World Is Only Your Illusion?,2020-10-13,275261,10748,1361
513,What If Octopuses Are Aliens from Outer Space?,2020-10-11,344993,12036,1272
514,Discussed: What If an Octopus Was Your Teacher? - with Pippa Ehrlich | Episode 16,2020-10-10,62351,1744,387
515,What If Europa Were Earth's Moon?,2020-10-08,1174621,32561,2157
516,What If We Built the World's Deepest Bunker?,2020-10-06,298064,8846,714
517,Discussed: What If Jupiter Never Existed? - with Steve Levin | Episode 15,2020-10-04,73229,2078,273
518,What If the U.S. President Dies Before the Election?,2020-10-03,919999,34076,6106
519,What If You Were Shot Out of a Liquid Nitrogen Cannon?,2020-10-02,69522,2258,254
520,What If We Powered the Planet With Seawater?,2020-10-01,228320,8374,701
521,What If We Built a Road Around the World?,2020-09-29,799619,19725,1853
522,What If We've Already Made First Contact With Aliens?,2020-09-27,469178,15869,1674
523,Discussed: What If We've Already Made First Contact with Aliens? - with Andrew Siemion | Episode 14,2020-09-26,79434,2375,422
524,What If We Became Cyborgs?,2020-09-24,297996,10853,1499
525,What If Russia Won the Space Race?,2020-09-22,212328,8577,1527
526,What If There Is Life on Venus?,2020-09-20,322889,11493,1104
527,Discussed: What If There Is Life on Venus? - with Sara Seager | Episode 13,2020-09-19,65186,2918,424
528,What If You Were Swallowed by a Crocodile?,2020-09-17,965837,15537,1252
529,What If Titanosaurs Never Went Extinct?,2020-09-15,721009,14070,1075
530,What If We Nuked an Asteroid?,2020-09-13,515791,17944,1484
531,Discussed: What If We Blew Up an Asteroid? - with Bill Nye | Episode 12,2020-09-12,58534,2032,276
532,What If We Sunk Our Trash in the Mariana Trench?,2020-09-10,1529052,17283,2485
533,What If You Got Caught in a Giant Spider Web?,2020-09-08,1052428,10298,868
534,What If the Universe Is Bouncing?,2020-09-06,201608,7208,1037
535,Discussed: What If the Universe Is Bouncing? - with Anna Ijjas | Episode 11,2020-09-05,51554,1930,269
536,What If You Only Drank Coca-Cola?,2020-09-04,2902114,60154,5798
537,What If Covid-19 Was Made in a Lab?,2020-09-03,471579,16533,2824
538,What If We Could Build a Tipler Cylinder?,2020-09-01,430472,12660,975
539,What If We Became a Type II Civilization?,2020-08-30,765218,26231,1962
540,Discussed: What If We Became a Type II Civilization? - with Michio Kaku | Episode 10,2020-08-29,479882,13611,1435
541,What If T-Rex Were Still Alive?,2020-08-28,1132081,26650,3519
542,What If You Fell Into a Pool of Hagfish?,2020-08-26,876134,18851,1188
543,What Happens If You Only Eat Raw Meat?,2020-08-25,739509,20997,2373
544,What If You Got Stuck in a Time Loop?,2020-08-23,340482,13383,1542
545,Discussed: What If You Got Stuck in a Time Loop? - with Danny Rubin | Episode 9,2020-08-22,51060,1844,339
546,What If We Covered Our Roads with Solar Panels?,2020-08-21,274556,8709,984
547,What If We Settled on Titan?,2020-08-19,950797,28949,2399
548,What If the Military Deployed a Million Nano Drones?,2020-08-16,111863,4021,510
549,Discussed: What If We Had to Evacuate Earth? - with Bill Nye | Episode 8,2020-08-15,163698,6157,628
550,What If You Fell Into a Pool of Jellyfish?,2020-08-14,232825,6515,687
551,What If a Black Hole Opened at CERN?,2020-08-12,855812,20602,2838
552,What If a Giant Sea Scorpion Fought a Killer Whale?,2020-08-11,218464,6052,514
553,What If We Could Look Inside Our Bodies?,2020-08-10,1581451,31294,1574
554,What If We Lived on a Super Earth?,2020-08-09,763891,19242,1538
555,Discussed: What If We Lived on a Super Earth? - with Jack Madden | Episode 7,2020-08-08,98322,3480,467
556,What If Your Teacher Were AI?,2020-08-07,163732,5894,887
557,What If You Rode Your Bike at the Speed of Light?,2020-08-05,243916,9312,1112
558,What If We Built a Stanford Torus?,2020-08-04,434506,12546,1068
559,What If Giant Sloths Didn't Go Extinct?,2020-08-02,487576,13173,1167
560,Discussed: What If Your Teacher Were AI? - with Joanna Bryson | Episode 6,2020-08-01,43039,1685,291
561,What If a Quasi-Star Entered Our Solar System?,2020-07-31,1414784,30596,2990
562,What If Everyone Farted at the Same Time?,2020-07-30,759708,22529,3575
563,What If We Built a Tower to Outer Space?,2020-07-28,407541,11574,1239
564,What If a Spider Crawled Into Your Body While You‘re Sleeping?,2020-07-27,2283689,25604,2242
565,What If Aliens Are Future Versions of Humans?,2020-07-26,962700,24957,2559
566,Discussed: What If Aliens Are Future Humans? - with Mike Masters | Episode 5,2020-07-25,292441,8657,1566
567,What If a Black Hole Ate the Sun?,2020-07-24,977435,22128,1828
568,What If You Owned a Time Machine?,2020-07-22,305548,10728,1745
569,What If the Giganotosaurus Battled the Troodon?,2020-07-21,245152,6771,1031
570,What If a New Planet Formed in the Solar System?,2020-07-19,699709,15680,1178
571,What If You Lived in Ancient Egypt?,2020-07-18,2052896,55697,3701
572,Discussed: What If You Lived in Ancient Egypt? - with Salima Ikram | Episode 4,2020-07-18,68851,2333,303
573,What If We Caught an Interstellar Visitor?,2020-07-16,246839,8952,730
574,What If We Killed All Spiders?,2020-07-14,550701,14010,2179
575,What If Seeds Could Grow in Your Stomach?,2020-07-12,2550031,25190,2319
576,What If the Sun Dimmed Down?,2020-07-11,453562,13631,1136
577,Discussed: What If the Sun Dimmed Down? - with Emily Calandrelli | Episode 3,2020-07-11,64462,2165,266
578,What If Your Dreams Could Be Hacked?,2020-07-09,215141,7938,1330
579,What If a White Hole and Black Hole Collided?,2020-07-08,2733982,65569,7692
580,What If You Jumped Into Lake Natron?,2020-07-07,12379864,225082,7136
581,"What If Everyone Froze for 1,000 Years?",2020-07-05,2080279,49118,4160
582,What If We Built an O'Neill Cylinder?,2020-07-04,694340,16963,1793
583,Discussed: What If We Lived in Space? - with Ronke Olabisi | Episode 2,2020-07-04,83625,2756,389
584,What If You Caught the Swine Flu?,2020-07-03,158271,6222,1308
585,What If a Massive Locust Swarm Attacked Your City?,2020-07-01,245704,7765,1805
586,What If Everyone Stopped Cutting Their Hair?,2020-06-30,254660,7812,877
587,What If Oceans Were Liquid Mercury?,2020-06-28,538833,11850,1068
588,What If Your Brain Were Twice the Size?,2020-06-27,227611,7365,875
589,Discussed: What If Your Brain Were Twice its Size? - with Michio Kaku | Episode 1,2020-06-27,75025,3220,329
590,What If Every Satellite Fell to Earth?,2020-06-25,239148,7591,836
591,What If Jupiter Swallowed Earth?,2020-06-24,5907705,89646,10626
592,What If Bigfoot Actually Exists?,2020-06-23,276794,8195,1116
593,What If We Built Cities on the Moon?,2020-06-22,271110,9266,1030
594,What If There Were a Permanent Solar Eclipse?,2020-06-20,673986,13828,1526
595,What If the Megalodon Shark Fought the Mosasaurus?,2020-06-18,2576766,39101,2772
596,What If Earth's Core Exploded?,2020-06-17,295229,7170,634
597,What If the Universe Isn't Uniform?,2020-06-16,208243,6766,585
598,What If You Fell Into a Pool of Stingrays?,2020-06-14,179289,4921,456
599,What If We Harnessed Zero-Point Energy?,2020-06-13,581145,16777,1688
600,What If the Universe Isn't Flat But a Giant Loop?,2020-06-11,253857,8874,910
601,What If Every Home Had a 3D Printer?,2020-06-10,160054,5691,889
602,What If Halley's Comet Crashed Into the Moon?,2020-06-09,484498,11427,1123
603,What If You Could Shapeshift?,2020-06-07,555843,14026,1685
604,What If We Found Alien Life on Enceladus?,2020-06-06,188107,7038,781
605,What If You Slept Upside Down?,2020-06-05,214641,6804,982
606,What If Spinosaurs Were Still Swimming Today?,2020-06-04,1084657,23481,2151
607,What If You Were Attacked by a Swarm of Cicadas?,2020-06-03,296094,6403,929
608,What If Planet Nine Exists?,2020-06-01,362326,12088,1490
609,What If We Powered the Planet With Lightning?,2020-05-31,251033,8350,1124
610,What If Two Hurricanes Collided?,2020-05-29,863855,17172,2323
611,What If It Rained Diamonds?,2020-05-28,449002,11705,1425
612,What If You Were Bitten by One Million Ticks?,2020-05-27,3580399,33114,3020
613,What If There Were No Wind?,2020-05-26,212007,7058,1217
614,What If You Met Your Cosmic Twin?,2020-05-25,470515,16803,1916
615,What If We Flooded the Death Valley?,2020-05-24,326954,8747,1322
616,What If There Were an Underground City Below Denver Airport?,2020-05-23,247918,7719,788
617,What If You Could Walk Through Walls?,2020-05-22,279925,8003,1039
618,What If It Takes Two Years for a COVID-19 Vaccine?,2020-05-21,1456766,38753,4554
619,What If You Were Infected by the Cordyceps Fungus?,2020-05-20,1794557,50163,5912
620,What If We Could Build a Mega-Computer in Space?,2020-05-19,284432,10828,1027
621,What If the Big Rip Happened Tomorrow?,2020-05-18,542917,16741,2444
622,What If We Could Hear the Sun?,2020-05-17,294035,9538,878
623,What If Mammoths Never Went Extinct?,2020-05-16,410520,10149,1324
624,What If You Only Lived for 24 Hours?,2020-05-15,1688087,41191,2798
625,What If You Drained the World's Largest Atoll?,2020-05-14,223374,6034,701
626,What If You Jumped Into a Geyser?,2020-05-13,206064,5352,635
627,What If We Dug a Hole Through the Moon?,2020-05-12,593376,12435,1375
628,What If We Become a Type 1 Civilization?,2020-05-11,1929547,53763,5126
629,What If You Lived in the Devonian Period?,2020-05-10,5566142,112294,5059
630,What If a Massive Gravitational Wave Hit Earth?,2020-05-09,443964,13632,2182
631,What If You Were Attacked by Murder Hornets?,2020-05-08,743929,15236,1821
632,What If Giant Mushrooms Grew on Earth?,2020-05-07,152605,5109,1114
633,What If You Hacked All the World's Satellites?,2020-05-06,229579,8268,948
634,What Happens If You Were Hospitalized With COVID-19?,2020-05-05,1655666,24893,2315
635,What If We Built a Massive Sun Shield in Space?,2020-05-04,209207,9179,893
636,What If We Never Aged?,2020-05-03,614689,15905,1890
637,What If You Did a Bungee Jump with Magnets?,2020-05-02,148484,5119,548
638,What If All Nuclear Reactors Exploded at Once?,2020-05-01,354977,11887,1191
639,What If the Coronavirus Mutated?,2020-04-30,604727,17053,2304
640,What If You Jumped Into Saturn's Rings?,2020-04-29,522108,12834,2208
641,What If Mount Everest Were an Active Volcano?,2020-04-28,448336,12900,2399
642,What If Everyone Ate Beans Instead of Beef?,2020-04-27,226687,8083,1849
643,What If Antarctica Were a Rainforest?,2020-04-26,479915,14735,1191
644,What If You Got Sucked Into a Tornado?,2020-04-25,2916799,32095,3045
645,What If All Oceans Turned Into Acid?,2020-04-24,1345042,25584,2444
646,What If Ancient Life Escaped Earth?,2020-04-23,825176,21205,1371
647,What If All Bats Disappeared?,2020-04-22,256843,8430,2199
648,What If Lightning Storms Never Stopped?,2020-04-21,263824,8056,883
649,What If You Jumped Into a Pool of Hand Sanitizer?,2020-04-20,1875679,35511,3844
650,What If We Could Kill the Coronavirus with UVC Lights?,2020-04-19,290522,8164,785
651,What If Mosasaurus Were Still Alive?,2020-04-18,6023272,86304,4907
652,What If Earth Was Shaped Like an American Football?,2020-04-17,266395,6443,974
653,What If We Lost Gravity for 5 Seconds?,2020-04-16,2064043,43798,3330
654,What If Social-Distancing Became Law?,2020-04-15,290467,8735,1246
655,What If You Fell Into a Pool of Electric Eels?,2020-04-14,454301,11416,1138
656,What If Everyone Wore Medical Face Masks?,2020-04-13,422938,10945,1481
657,What If We Nuked an Active Volcano?,2020-04-12,617880,15622,1856
658,What If We Moved the Solar System?,2020-04-11,455955,9467,1173
659,What If We Tried to Contact Alien Civilizations?,2020-04-10,426283,11636,1219
660,What If You Never Coughed?,2020-04-09,221522,5000,682
661,What If Earth Released All Its Methane?,2020-04-08,232915,6480,717
662,What If You Fell from an Airplane Into Fresh Snow?,2020-04-07,448417,7898,656
663,What If You Went to the Toilet Only Once a Year?,2020-04-05,875486,17646,1733
664,What If the Great Attractor Swallowed Our Galaxy?,2020-04-04,741106,16852,1360
665,What If All Supermarkets Closed?,2020-04-03,178718,5120,649
666,What If We Stopped Shaking Hands?,2020-04-02,164818,5257,1076
667,What If a Volcano Erupted Into Space?,2020-04-01,1058209,17699,1283
668,What If Mosquitoes Were the Size of Humans?,2020-03-31,1093145,24354,3347
669,What If We Relocated Humanity to Proxima B?,2020-03-29,2169538,48430,4677
670,What Happens If You Get Covid-19?,2020-03-28,25325346,355921,19292
671,What If You Didn't Wash Your Hands for a Year?,2020-03-27,561457,13322,1565
672,What If We Discovered Alien AI?,2020-03-26,440559,13848,1325
673,What If We Ran Out of Toilet Paper?,2020-03-24,224271,6932,3084
674,What If the U.S Were Under Lockdown?,2020-03-24,5528,524,234
675,What If You Ate the Spiciest Pepper in the World?,2020-03-22,956534,18925,1899
676,What If You Were the Last Human and Trapped in Space?,2020-03-21,752964,20189,1788
677,What If the Yellowstone Volcano Erupted Tomorrow?,2020-03-19,4149688,75859,9552
678,What If You Controlled the Internet?,2020-03-17,176932,6710,1140
679,What If We Drained the Mediterranean?,2020-03-16,1440010,17791,1357
680,Discussed: What If We Lived in a Galactic Zoo?,2020-03-15,1042619,16540,1635
681,What If We Could Build an Alderson Disk?,2020-03-14,1400584,27806,3028
682,What If We Could Build Bridges Between Continents?,2020-03-13,759520,16986,1674
683,What If You Fell Into a Piranha Pool?,2020-03-12,6151663,111486,5372
684,What If We Discover Life After Death?,2020-03-10,1587113,42757,6765
685,What If There Was Only One Woman on Earth?,2020-03-08,2046469,68093,9351
686,What If the Universe Ended Tomorrow?,2020-03-05,517890,14774,1581
687,What If Antarctica’s Dormant Volcanoes Woke Up?,2020-03-03,1930891,36290,2334
688,What If You Could Shrink to the Size of an Atom?,2020-03-01,700421,19528,1556
689,What If China Created an Artificial Moon?,2020-02-28,426851,10674,1525
690,What If Earth Orbited UY Scuti?,2020-02-26,3218847,65479,5616
691,What If You Fell Into Niagara Falls?,2020-02-24,6356545,77422,3206
692,What If Algae Took Over the Oceans?,2020-02-22,654639,12183,1123
693,What If We Built Vertical Farms?,2020-02-20,394254,13429,1664
694,What If We Knew the Time the Earth Will Die?,2020-02-18,1177194,24528,2318
695,What If You Dropped a Steak From Orbit?,2020-02-16,893914,17617,1882
696,What If We Burn All the Oil?,2020-02-14,295057,9554,1035
697,What If Our Universe Collided With Another One?,2020-02-12,2523068,58241,5381
698,What If You Were Trapped in a Meat-Eating Plant?,2020-02-10,2759393,31286,1280
699,What If a Magnetar Collided With a Black Hole?,2020-02-09,1996569,38397,2419
700,What If Discussed. The Podcast | Trailer,2020-02-08,78334,3985,510
701,What Happens If You Put Your Head Into a Particle Accelerator?,2020-02-06,239248,7231,664
702,What If Betelgeuse Exploded Right Now?,2020-02-04,1941514,47874,4744
703,What If We Had a Worldwide Pandemic?,2020-02-02,1008795,28393,5271
704,What If the Kraken Was Real?,2020-01-30,4709178,83235,6834
705,What If We Became Enslaved by Aliens?,2020-01-28,652894,17357,2285
706,What If the Earth’s Crust Suddenly Opened Up?,2020-01-27,364421,9394,920
707,What If the Moon Never Formed?,2020-01-25,583062,14635,1212
708,What If | Channel Trailer | An Epic Exploration Of Possibilities,2020-01-24,868821,16302,1663
709,What If We Set Aside Half the Planet for Wildlife?,2020-01-23,2340042,62813,5604
710,What If Two Black Holes Collided?,2020-01-21,2173792,44760,3107
711,What If a Flash Wiped Out Everyone's Memories?,2020-01-19,434607,13518,1692
712,What If Jupiter Never Existed?,2020-01-17,501251,13266,1337
713,What If Earth Was As Big As the Sun?,2020-01-15,6277690,136175,9804
714,What If We Could Create Anti-Gravity?,2020-01-13,318021,9279,1001
715,What If You Die?,2020-01-11,2640286,77373,7483
716,What If the Pterodactyl Was Still Alive?,2020-01-09,671102,13303,1243
717,What If World War III Happened Tomorrow?,2020-01-08,5553434,126373,15337
718,What If We Could Grow Babies in Artificial Wombs?,2020-01-07,184889,6212,1163
719,What If We Generated Electricity With Our Bodies?,2020-01-05,183825,5947,714
720,What If You Lived on an Asteroid?,2020-01-03,349579,9988,1042
721,What If Everyone Stopped Drinking Coffee?,2020-01-01,275003,9086,1667
722,What If Our Bodies Kept Evolving?,2019-12-31,2590244,57294,5337
723,What If You Knew the Date and Time You Will Die?,2019-12-30,781957,29533,3747
724,What If You Traveled to a Black Hole?,2019-12-28,1087843,26589,2201
725,Face Reveal,2019-12-26,966466,90339,7732
726,What If a Quasar Entered Our Solar System?,2019-12-25,1316511,30830,2358
727,What Happens If You Vape for 24 Hours Straight?,2019-12-23,386249,12349,1581
728,What If You Were Swallowed by an Anaconda?,2019-12-21,5471634,71789,4419
729,What If You Had to Be Santa Claus?,2019-12-20,208717,7921,1560
730,What Happens If You Don’t Leave the Bathtub for a Week?,2019-12-18,3075218,35023,2410
731,What If We Built a Canal Between U.S. and Mexico?,2019-12-16,226694,4610,723
732,What If the Sun Exploded Tomorrow?,2019-12-14,9647237,163708,15670
733,What If You Had to Find Baby Yoda?,2019-12-13,154419,5404,624
734,What If You Fell Into the Deepest Hole on Earth?,2019-12-12,2744266,49767,2584
735,What If Wifi Was Visible?,2019-12-10,314287,11590,1299
736,What If We Turned Plastic Into Fuel?,2019-12-08,320603,9930,995
737,What If Earth Was Shaped Like a Donut?,2019-12-06,3186913,56820,5946
738,What If We Created No Waste?,2019-12-04,539410,14421,1183
739,What If You Never Left Your Bed?,2019-12-02,672960,18566,1521
740,What If You Were Made of Dark Matter?,2019-11-30,973004,26932,2059
741,What If You Held in All Your Sneezes?,2019-11-28,731539,19374,1883
